                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.952,                 3.9282,                 4.0396,                0.33642,                0.63132,                0.04006,                 0.0084,                 2.4227,                 29.662,                 4.0747,             0.00033013,             0.00033013,             0.00033013
                      2,                 2.3537,                 3.5831,                 3.2315,                 0.0272,                0.13134,                0.02591,                0.01107,                 1.7209,                  5.202,                  3.127,             0.00065689,             0.00065689,             0.00065689
                      3,                 1.7492,                 3.0811,                 2.4965,                0.06907,                0.36964,                0.08402,                0.04362,                 1.6737,                 4.9082,                 2.8429,             0.00097706,             0.00097706,             0.00097706
                      4,                 1.4542,                 2.6823,                  2.135,                0.09736,                0.41358,                0.15325,                0.07746,                  1.614,                 3.0895,                 2.7139,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.3065,                 2.4454,                 1.9658,                0.15557,                0.48441,                0.19735,                0.12673,                  1.486,                 2.7336,                 2.5302,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.2169,                 2.2732,                 1.8375,                0.17657,                0.53945,                0.20496,                0.12598,                 1.4585,                 2.6464,                 2.5186,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.1532,                 2.1837,                 1.7915,                0.15733,                0.57804,                0.23794,                0.14247,                 1.4116,                 2.4689,                 2.4354,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.0752,                 2.0366,                 1.7141,                0.18125,                0.53872,                0.25588,                0.15593,                 1.3513,                 2.3269,                 2.4235,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.0486,                 2.0138,                 1.6914,                0.22001,                0.68354,                0.26283,                0.15425,                 1.4003,                 2.1839,                 2.4801,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.0132,                 1.9288,                 1.6531,                0.17781,                0.66382,                0.25657,                0.16007,                 1.2899,                 2.1793,                 2.3921,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.0081,                  1.941,                 1.6387,                0.20986,                0.65978,                0.33909,                0.20897,                 1.1587,                 1.9446,                 2.1095,              0.0009109,              0.0009109,              0.0009109
                     12,                0.97839,                 1.8811,                 1.6099,                0.25399,                0.67918,                0.31331,                 0.2052,                 1.2161,                  2.026,                 2.1846,               0.000901,               0.000901,               0.000901
                     13,                0.95036,                 1.8876,                 1.5823,                0.19795,                0.65453,                0.31142,                0.19027,                 1.2803,                 1.9709,                 2.2676,              0.0008911,              0.0008911,              0.0008911
                     14,                0.92771,                 1.8397,                 1.5736,                0.24057,                0.64216,                0.34122,                0.21906,                 1.1571,                 1.8927,                  2.106,              0.0008812,              0.0008812,              0.0008812
                     15,                0.92127,                 1.8109,                 1.5637,                0.21823,                0.71366,                0.33609,                0.21249,                 1.1789,                 1.8755,                 2.1354,              0.0008713,              0.0008713,              0.0008713
                     16,                 0.8841,                 1.7898,                 1.5398,                0.34759,                0.54405,                 0.3942,                0.26315,                  1.229,                 1.8783,                 2.1095,              0.0008614,              0.0008614,              0.0008614
                     17,                0.89327,                 1.7772,                 1.5304,                0.36498,                0.63722,                0.35977,                0.24592,                 1.0772,                 1.8227,                 1.9741,              0.0008515,              0.0008515,              0.0008515
                     18,                0.86382,                 1.7659,                 1.5222,                0.18726,                0.57211,                0.38218,                0.25603,                 1.1103,                 1.7959,                 2.0503,              0.0008416,              0.0008416,              0.0008416
                     19,                0.87032,                 1.7388,                  1.508,                0.21957,                0.57255,                0.39443,                0.25847,                 1.1367,                 1.8802,                 2.0715,              0.0008317,              0.0008317,              0.0008317
                     20,                0.86714,                 1.7377,                 1.5119,                0.36308,                0.55709,                0.40356,                0.27791,                  1.084,                 1.8328,                 1.9918,              0.0008218,              0.0008218,              0.0008218
                     21,                0.84055,                  1.688,                 1.4941,                0.28899,                0.72704,                0.45182,                0.29353,                 1.0996,                 1.6922,                 1.9766,              0.0008119,              0.0008119,              0.0008119
                     22,                0.84502,                 1.6586,                 1.4907,                 0.4991,                0.45493,                0.50385,                0.34093,                 1.1304,                 1.6537,                 2.0482,               0.000802,               0.000802,               0.000802
                     23,                0.82456,                 1.6204,                 1.4726,                0.31147,                0.60821,                0.41474,                 0.2784,                 1.1163,                 1.7454,                 1.9368,              0.0007921,              0.0007921,              0.0007921
                     24,                0.84422,                 1.6102,                 1.4743,                0.41543,                0.66062,                 0.5183,                 0.3547,                 1.1251,                 1.5007,                 1.9819,              0.0007822,              0.0007822,              0.0007822
                     25,                0.80673,                 1.5659,                 1.4546,                0.34401,                0.63932,                0.46038,                 0.3146,                 1.0599,                 1.6553,                 1.9017,              0.0007723,              0.0007723,              0.0007723
                     26,                0.80895,                 1.5762,                 1.4624,                0.34229,                0.64619,                0.46667,                0.31997,                0.98575,                 1.6601,                  1.872,              0.0007624,              0.0007624,              0.0007624
                     27,                0.81521,                 1.5432,                 1.4614,                0.30587,                0.63648,                0.50492,                0.33265,                 1.0917,                 1.6713,                 1.9043,              0.0007525,              0.0007525,              0.0007525
                     28,                0.79093,                 1.5235,                  1.439,                0.39841,                0.63279,                 0.4861,                0.32886,                 1.0555,                 1.5974,                 1.8832,              0.0007426,              0.0007426,              0.0007426
                     29,                0.78893,                 1.4902,                 1.4339,                0.44781,                0.60342,                0.51313,                0.33719,                 1.0707,                 1.6221,                 1.9163,              0.0007327,              0.0007327,              0.0007327
                     30,                0.79411,                 1.4875,                 1.4468,                0.40518,                0.62411,                0.50957,                0.35578,                 1.0236,                 1.5465,                 1.8395,              0.0007228,              0.0007228,              0.0007228
                     31,                0.76778,                 1.4642,                 1.4237,                0.46743,                0.67039,                0.56063,                0.39193,                0.99325,                 1.5043,                 1.8213,              0.0007129,              0.0007129,              0.0007129
                     32,                0.76585,                 1.4508,                 1.4189,                0.52422,                0.61809,                0.60099,                0.41166,                 1.0258,                 1.3476,                 1.8543,               0.000703,               0.000703,               0.000703
                     33,                0.76625,                 1.4272,                 1.4206,                0.50225,                0.64731,                 0.5875,                0.40914,                 1.0325,                  1.569,                 1.8696,              0.0006931,              0.0006931,              0.0006931
                     34,                0.75487,                  1.401,                 1.4126,                0.46495,                0.62679,                0.57142,                0.39644,                 1.0762,                  1.464,                 1.9267,              0.0006832,              0.0006832,              0.0006832
                     35,                0.76987,                 1.4425,                  1.427,                0.45305,                0.66224,                0.61463,                 0.4054,                 1.0486,                  1.384,                 1.8983,              0.0006733,              0.0006733,              0.0006733
                     36,                0.75457,                 1.3976,                 1.4105,                0.51588,                0.71838,                0.62983,                 0.4417,                0.99017,                 1.2913,                  1.815,              0.0006634,              0.0006634,              0.0006634
                     37,                 0.7457,                 1.4028,                 1.4104,                  0.518,                0.61519,                 0.6085,                0.42607,                0.98857,                 1.3763,                 1.8061,              0.0006535,              0.0006535,              0.0006535
                     38,                0.74554,                 1.3593,                 1.4092,                0.54154,                0.67225,                0.65158,                 0.4459,                 1.0382,                  1.303,                 1.8713,              0.0006436,              0.0006436,              0.0006436
                     39,                0.74617,                 1.3647,                 1.4043,                0.51277,                0.62413,                0.57088,                0.39031,                 1.0073,                 1.3913,                 1.8351,              0.0006337,              0.0006337,              0.0006337
                     40,                0.77059,                 1.3499,                 1.4277,                0.63517,                0.60931,                0.67863,                0.45273,                 1.0666,                 1.3252,                 1.8277,              0.0006238,              0.0006238,              0.0006238
                     41,                0.75932,                 1.3232,                 1.4147,                0.63089,                0.69204,                0.69481,                0.48253,                 1.0074,                 1.1871,                 1.8581,              0.0006139,              0.0006139,              0.0006139
                     42,                0.76394,                 1.3182,                 1.4012,                0.61452,                0.63365,                 0.6389,                0.43638,                 1.0052,                 1.3113,                 1.8571,               0.000604,               0.000604,               0.000604
                     43,                 0.7488,                  1.315,                 1.4034,                0.49364,                0.72793,                0.65156,                0.45343,                 1.0153,                  1.247,                 1.8892,              0.0005941,              0.0005941,              0.0005941
                     44,                0.73449,                 1.2715,                 1.3927,                0.56193,                0.72853,                0.68468,                0.47005,                 1.0438,                 1.3634,                 1.8669,              0.0005842,              0.0005842,              0.0005842
                     45,                0.73735,                 1.2939,                 1.3947,                0.49459,                0.72124,                 0.6861,                0.48902,                0.97386,                  1.287,                 1.7714,              0.0005743,              0.0005743,              0.0005743
                     46,                 0.7308,                 1.2627,                 1.3891,                0.65134,                0.63433,                0.70502,                0.48966,                0.98018,                 1.3503,                 1.7862,              0.0005644,              0.0005644,              0.0005644
